OBJECTID;LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
219146;11;10;10100103;2021;12;8;6;3;5;3;0;0;1;0;0;0;0;2;809126,4824;5833832,585;13,56195362;52,56652227
219143;11;1;1100310;2021;12;19;3;3;5;2;2;0;1;0;0;0;0;0;799244,9213;5828468,799;13,41177151;52,52396602
219142;11;11;11300620;2021;12;8;5;3;5;7;1;0;1;0;0;0;1;0;803671,0124;5829503,973;13,47775586;52,53079698
219141;11;8;8100521;2021;12;6;2;3;5;2;2;0;1;0;0;0;0;1;803663,712;5822281,351;13,47106376;52,46606634
219140;11;2;2100101;2021;12;9;4;3;6;2;0;0;1;1;0;0;0;0;797386,183;5826168,983;13,38240017;52,5043678
219139;11;9;9100306;2021;12;14;2;3;2;6;0;0;1;0;0;0;1;1;803847,2501;5820991,857;13,47258349;52,45440678
219137;11;6;6300528;2021;12;14;5;3;6;4;0;0;1;1;0;0;0;0;790149,6988;5815444,686;13,26676539;52,41211822
219136;11;12;12200412;2021;12;11;7;3;6;2;0;0;1;1;0;0;0;0;790957,8978;5833786,623;13,29463366;52,57612526
219134;11;1;1100207;2021;11;19;2;3;2;6;1;0;1;0;0;0;0;1;798348,2208;5827454,837;13,39768443;52,51536861
219133;11;11;11400930;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1;806140,8415;5826705,681;13,51147743;52,50433651
219132;11;8;8401241;2021;12;19;4;3;5;3;2;0;1;0;0;0;1;1;804526,5821;5819220,605;13,48093551;52,43815343
219130;11;11;11400929;2021;12;8;6;2;2;2;1;1;0;0;0;0;1;1;805129,6881;5826182,817;13,4961473;52,50021673
219129;11;11;11300722;2021;12;16;2;3;6;4;2;0;1;1;0;0;0;1;804293,6493;5828442,061;13,48593464;52,5209323
219128;11;1;1100308;2021;12;14;6;3;2;6;0;1;1;0;0;0;0;0;797562,0466;5828652,282;13,38720431;52,52653176
219125;11;11;11300620;2021;12;18;6;3;6;2;2;0;1;1;0;0;0;1;803705,0007;5829526,437;13,47827589;52,53097938
219124;11;2;2200210;2021;12;1;7;3;5;3;2;0;1;0;0;0;0;1;798947,1888;5825237,234;13,40449375;52,49516294
219123;11;1;1300732;2021;12;22;7;3;2;6;2;0;1;0;0;0;1;0;797230,3653;5832070,156;13,38538757;52,55734983
219122;11;11;11300722;2021;11;9;3;3;5;7;0;0;1;0;0;0;1;1;803266,3822;5828618,931;13,47100199;52,52308982
219121;11;11;11400928;2021;12;16;2;3;6;7;2;1;0;1;0;0;0;0;804255,7715;5826157,396;13,48328963;52,50047683
219120;11;1;1200623;2021;12;9;1;3;6;4;0;0;0;1;0;0;1;2;795024,1206;5829152,012;13,35034674;52,53239077
219118;11;11;11300721;2021;11;7;3;2;3;6;2;0;0;0;1;0;1;1;805784,7688;5830099,77;13,50936762;52,53495511
219116;11;10;10300733;2021;12;10;3;3;2;7;0;0;0;0;0;0;1;0;808485,1952;5826954,188;13,54613779;52,50524328
219115;11;3;3200308;2021;12;12;1;2;0;7;0;0;1;0;0;0;0;1;798932,485;5837489,748;13,41530801;52,60499612
219114;11;1;1400938;2021;12;20;5;3;8;1;2;0;1;0;0;0;0;2;793706,122;5830574,885;13,33223014;52,54585781
219111;11;12;12601133;2021;12;17;6;3;0;4;2;0;0;1;0;0;1;1;794959,9668;5836488,833;13,35592679;52,59819378
219110;11;3;3601245;2021;12;16;6;3;5;2;1;1;1;0;0;0;0;0;800753,0166;5831294,661;13,43649048;52,54846501
219109;11;9;9501939;2021;12;13;7;3;6;4;0;0;1;1;0;0;0;0;810720,1155;5821696,833;13,57406078;52,45686124
219108;11;4;4100102;2021;12;18;4;2;5;2;2;0;1;0;0;0;0;0;791428,0143;5829180,568;13,29750767;52,53458142
219107;11;4;4200310;2021;12;14;2;3;6;7;0;0;1;1;0;0;0;0;789739,3243;5826425,442;13,27028079;52,51078164
